#            Cell,             Row,          Column,       Xcenter (cm),       Ycenter (cm)
               95,               7,              11,            -85.217,             71.438
               96,               8,               0,             85.217,             55.562
               97,               8,               1,             69.723,             55.562
               98,               8,               2,             54.229,             55.562
               99,               8,               3,             38.735,             55.562
              100,               8,               4,             23.241,             55.562
              101,               8,               5,              7.747,             55.562
              102,               8,               6,             -7.747,             55.562
              103,               8,               7,            -23.241,             55.562
              104,               8,               8,            -38.735,             55.562
              105,               8,               9,            -54.229,             55.562
              106,               8,              10,            -69.723,             55.562
              107,               8,              11,            -85.217,             55.562
              108,               9,               0,             85.217,             39.688
              109,               9,               1,             69.723,             39.688
              110,               9,               2,             54.229,             39.688
              111,               9,               3,             38.735,             39.688
              112,               9,               4,             23.241,             39.688
              113,               9,               5,              7.747,             39.688
              114,               9,               6,             -7.747,             39.688
              115,               9,               7,            -23.241,             39.688
              116,               9,               8,            -38.735,             39.688
              117,               9,               9,            -54.229,             39.688
              118,               9,              10,            -69.723,             39.688
              119,               9,              11,            -85.217,             39.688
              120,              10,               0,             85.217,             23.812
              121,              10,               1,             69.723,             23.812
              122,              10,               2,             54.229,             23.812
              123,              10,               3,             38.735,             23.812
              124,              10,               4,             23.241,             23.812
              125,              10,               5,              7.747,             23.812
              126,              10,               6,             -7.747,             23.812
              127,              10,               7,            -23.241,             23.812
              128,              10,               8,            -38.735,             23.812
              129,              10,               9,            -54.229,             23.812
              130,              10,              10,            -69.723,             23.812
              131,              10,              11,            -85.217,             23.812
              132,              11,               0,             85.217,              7.938
              133,              11,               1,             69.723,              7.938
              134,              11,               2,             54.229,              7.938
              135,              11,               3,             38.735,              7.938
              136,              11,               4,             23.241,              7.938
              137,              11,               5,              7.747,              7.938
              138,              11,               6,             -7.747,              7.938
              139,              11,               7,            -23.241,              7.938
              140,              11,               8,            -38.735,              7.938
              141,              11,               9,            -54.229,              7.938
              142,              11,              10,            -69.723,              7.938
              143,              11,              11,            -85.217,              7.938
              144,              12,               0,             85.217,             -7.938
              145,              12,               1,             69.723,             -7.938
              146,              12,               2,             54.229,             -7.938
              147,              12,               3,             38.735,             -7.938
              148,              12,               4,             23.241,             -7.938
              149,              12,               5,              7.747,             -7.938
              150,              12,               6,             -7.747,             -7.938
              151,              12,               7,            -23.241,             -7.938
              152,              12,               8,            -38.735,             -7.938
              153,              12,               9,            -54.229,             -7.938
              154,              12,              10,            -69.723,             -7.938
              155,              12,              11,            -85.217,             -7.938
              156,              13,               0,             85.217,            -23.812
              157,              13,               1,             69.723,            -23.812
              158,              13,               2,             54.229,            -23.812
              159,              13,               3,             38.735,            -23.812
              160,              13,               4,             23.241,            -23.812
              161,              13,               5,              7.747,            -23.812
              162,              13,               6,             -7.747,            -23.812
              163,              13,               7,            -23.241,            -23.812
              164,              13,               8,            -38.735,            -23.812
              165,              13,               9,            -54.229,            -23.812
              166,              13,              10,            -69.723,            -23.812
              167,              13,              11,            -85.217,            -23.812
              168,              14,               0,             85.217,            -39.688
              169,              14,               1,             69.723,            -39.688
              170,              14,               2,             54.229,            -39.688
              171,              14,               3,             38.735,            -39.688
              172,              14,               4,             23.241,            -39.688
              173,              14,               5,              7.747,            -39.688
              174,              14,               6,             -7.747,            -39.688
              175,              14,               7,            -23.241,            -39.688
              176,              14,               8,            -38.735,            -39.688
              177,              14,               9,            -54.229,            -39.688
              178,              14,              10,            -69.723,            -39.688
              179,              14,              11,            -85.217,            -39.688
              180,              15,               0,             85.217,            -55.562
              181,              15,               1,             69.723,            -55.562
              182,              15,               2,             54.229,            -55.562
              183,              15,               3,             38.735,            -55.562
              184,              15,               4,             23.241,            -55.562
              185,              15,               5,              7.747,            -55.562
              186,              15,               6,             -7.747,            -55.562
              187,              15,               7,            -23.241,            -55.562
              188,              15,               8,            -38.735,            -55.562
              189,              15,               9,            -54.229,            -55.562
              190,              15,              10,            -69.723,            -55.562
              191,              15,              11,            -85.217,            -55.562
              192,              16,               0,             85.217,            -71.438
              193,              16,               1,             69.723,            -71.438
              194,              16,               2,             54.229,            -71.438
              195,              16,               3,             38.735,            -71.438
              196,              16,               4,             23.241,            -71.438
              197,              16,               5,              7.747,            -71.438
              198,              16,               6,             -7.747,            -71.438
              199,              16,               7,            -23.241,            -71.438
              200,              16,               8,            -38.735,            -71.438
              201,              16,               9,            -54.229,            -71.438
              202,              16,              10,            -69.723,            -71.438
              203,              16,              11,            -85.217,            -71.438
              204,              17,               0,             85.217,            -87.312
              205,              17,               1,             69.723,            -87.312
              206,              17,               2,             54.229,            -87.312
              207,              17,               3,             38.735,            -87.312
              208,              17,               4,             23.241,            -87.312
              209,              17,               5,              7.747,            -87.312
              210,              17,               6,             -7.747,            -87.312
              211,              17,               7,            -23.241,            -87.312
              212,              17,               8,            -38.735,            -87.312
              213,              17,               9,            -54.229,            -87.312
              214,              17,              10,            -69.723,            -87.312
              215,              17,              11,            -85.217,            -87.312
              216,              18,               0,             85.217,           -103.188
              217,              18,               1,             69.723,           -103.188
              218,              18,               2,             54.229,           -103.188
              219,              18,               3,             38.735,           -103.188
              220,              18,               4,             23.241,           -103.188
              221,              18,               5,              7.747,           -103.188
              222,              18,               6,             -7.747,           -103.188
              223,              18,               7,            -23.241,           -103.188
              224,              18,               8,            -38.735,           -103.188
              225,              18,               9,            -54.229,           -103.188
              226,              18,              10,            -69.723,           -103.188
              227,              18,              11,            -85.217,           -103.188
              228,              19,               0,             85.217,           -119.062
              229,              19,               1,             69.723,           -119.062
              230,              19,               2,             54.229,           -119.062
              231,              19,               3,             38.735,           -119.062
              232,              19,               4,             23.241,           -119.062
              233,              19,               5,              7.747,           -119.062
              234,              19,               6,             -7.747,           -119.062
              235,              19,               7,            -23.241,           -119.062
              236,              19,               8,            -38.735,           -119.062
              237,              19,               9,            -54.229,           -119.062
              238,              19,              10,            -69.723,           -119.062
              239,              19,              11,            -85.217,           -119.062
              240,              20,               0,             85.217,           -134.938
              241,              20,               1,             69.723,           -134.938
              242,              20,               2,             54.229,           -134.938
              243,              20,               3,             38.735,           -134.938
              244,              20,               4,             23.241,           -134.938
              245,              20,               5,              7.747,           -134.938
              246,              20,               6,             -7.747,           -134.938
              247,              20,               7,            -23.241,           -134.938
              248,              20,               8,            -38.735,           -134.938
              249,              20,               9,            -54.229,           -134.938
              250,              20,              10,            -69.723,           -134.938
              251,              20,              11,            -85.217,           -134.938
              252,              21,               0,             85.217,           -150.812
              253,              21,               1,             69.723,           -150.812
              254,              21,               2,             54.229,           -150.812
              255,              21,               3,             38.735,           -150.812
              256,              21,               4,             23.241,           -150.812
              257,              21,               5,              7.747,           -150.812
              258,              21,               6,             -7.747,           -150.812
              259,              21,               7,            -23.241,           -150.812
              260,              21,               8,            -38.735,           -150.812
              261,              21,               9,            -54.229,           -150.812
              262,              21,              10,            -69.723,           -150.812
              263,              21,              11,            -85.217,           -150.812
              264,              22,               0,             85.217,           -166.688
              265,              22,               1,             69.723,           -166.688
              266,              22,               2,             54.229,           -166.688
              267,              22,               3,             38.735,           -166.688
              268,              22,               4,             23.241,           -166.688
              269,              22,               5,              7.747,           -166.688
              270,              22,               6,             -7.747,           -166.688
              271,              22,               7,            -23.241,           -166.688
              272,              22,               8,            -38.735,           -166.688
              273,              22,               9,            -54.229,           -166.688
              274,              22,              10,            -69.723,           -166.688
              275,              22,              11,            -85.217,           -166.688
              276,              23,               0,             85.217,           -182.562
              277,              23,               1,             69.723,           -182.562
              278,              23,               2,             54.229,           -182.562
              279,              23,               3,             38.735,           -182.562
              280,              23,               4,             23.241,           -182.562
              281,              23,               5,              7.747,           -182.562
              282,              23,               6,             -7.747,           -182.562
              283,              23,               7,            -23.241,           -182.562
              284,              23,               8,            -38.735,           -182.562
              285,              23,               9,            -54.229,           -182.562
              286,              23,              10,            -69.723,           -182.562
              287,              23,              11,            -85.217,           -182.562
