#            Cell,             Row,          Column,       Xcenter (cm),       Ycenter (cm)
                0,               0,               0,             85.217,            182.562
                1,               0,               1,             69.723,            182.562
                2,               0,               2,             54.229,            182.562
                3,               0,               3,             38.735,            182.562
                4,               0,               4,             23.241,            182.562
                5,               0,               5,              7.747,            182.562
                6,               0,               6,             -7.747,            182.562
                7,               0,               7,            -23.241,            182.562
                8,               0,               8,            -38.735,            182.562
                9,               0,               9,            -54.229,            182.562
               10,               0,              10,            -69.723,            182.562
               11,               0,              11,            -85.217,            182.562
               12,               1,               0,             85.217,            166.688
               13,               1,               1,             69.723,            166.688
               14,               1,               2,             54.229,            166.688
               15,               1,               3,             38.735,            166.688
               16,               1,               4,             23.241,            166.688
               17,               1,               5,              7.747,            166.688
               18,               1,               6,             -7.747,            166.688
               19,               1,               7,            -23.241,            166.688
               20,               1,               8,            -38.735,            166.688
               21,               1,               9,            -54.229,            166.688
               22,               1,              10,            -69.723,            166.688
               23,               1,              11,            -85.217,            166.688
               24,               2,               0,             85.217,            150.812
               25,               2,               1,             69.723,            150.812
               26,               2,               2,             54.229,            150.812
               27,               2,               3,             38.735,            150.812
               28,               2,               4,             23.241,            150.812
               29,               2,               5,              7.747,            150.812
               30,               2,               6,             -7.747,            150.812
               31,               2,               7,            -23.241,            150.812
               32,               2,               8,            -38.735,            150.812
               33,               2,               9,            -54.229,            150.812
               34,               2,              10,            -69.723,            150.812
               35,               2,              11,            -85.217,            150.812
               36,               3,               0,             85.217,            134.938
               37,               3,               1,             69.723,            134.938
               38,               3,               2,             54.229,            134.938
               39,               3,               3,             38.735,            134.938
               40,               3,               4,             23.241,            134.938
               41,               3,               5,              7.747,            134.938
               42,               3,               6,             -7.747,            134.938
               43,               3,               7,            -23.241,            134.938
               44,               3,               8,            -38.735,            134.938
               45,               3,               9,            -54.229,            134.938
               46,               3,              10,            -69.723,            134.938
               47,               3,              11,            -85.217,            134.938
               48,               4,               0,             85.217,            119.062
               49,               4,               1,             69.723,            119.062
               50,               4,               2,             54.229,            119.062
               51,               4,               3,             38.735,            119.062
               52,               4,               4,             23.241,            119.062
               53,               4,               5,              7.747,            119.062
               54,               4,               6,             -7.747,            119.062
               55,               4,               7,            -23.241,            119.062
               56,               4,               8,            -38.735,            119.062
               57,               4,               9,            -54.229,            119.062
               58,               4,              10,            -69.723,            119.062
               59,               4,              11,            -85.217,            119.062
               60,               5,               0,             85.217,            103.188
               61,               5,               1,             69.723,            103.188
               62,               5,               2,             54.229,            103.188
               63,               5,               3,             38.735,            103.188
               64,               5,               4,             23.241,            103.188
               65,               5,               5,              7.747,            103.188
               66,               5,               6,             -7.747,            103.188
               67,               5,               7,            -23.241,            103.188
               68,               5,               8,            -38.735,            103.188
               69,               5,               9,            -54.229,            103.188
               70,               5,              10,            -69.723,            103.188
               71,               5,              11,            -85.217,            103.188
               72,               6,               0,             85.217,             87.312
               73,               6,               1,             69.723,             87.312
               74,               6,               2,             54.229,             87.312
               75,               6,               3,             38.735,             87.312
               76,               6,               4,             23.241,             87.312
               77,               6,               5,              7.747,             87.312
               78,               6,               6,             -7.747,             87.312
               79,               6,               7,            -23.241,             87.312
               80,               6,               8,            -38.735,             87.312
               81,               6,               9,            -54.229,             87.312
               82,               6,              10,            -69.723,             87.312
               83,               6,              11,            -85.217,             87.312
               84,               7,               0,             85.217,             71.438
               85,               7,               1,             69.723,             71.438
               86,               7,               2,             54.229,             71.438
               87,               7,               3,             38.735,             71.438
               88,               7,               4,             23.241,             71.438
               89,               7,               5,              7.747,             71.438
               90,               7,               6,             -7.747,             71.438
               91,               7,               7,            -23.241,             71.438
               92,               7,               8,            -38.735,             71.438
               93,               7,               9,            -54.229,             71.438
               94,               7,              10,            -69.723,             71.438
