#            Cell,             Row,          Column,            Xcenter,            Ycenter
              116,               8,               4,             -8.500,             42.500
              117,               9,               4,             -8.500,             34.000
              118,              10,               4,             -8.500,             25.500
              119,              11,               4,             -8.500,             17.000
              120,              12,               4,             -8.500,              8.500
              121,              13,               4,             -8.500,              0.000
              122,              14,               4,             -8.500,             -8.500
              123,              15,               4,             -8.500,            -17.000
              124,              16,               4,             -8.500,            -25.500
              125,              17,               4,             -8.500,            -34.000
              126,              18,               4,             -8.500,            -42.500
              127,              19,               4,             -8.500,            -51.000
              128,              20,               4,             -8.500,            -59.500
              129,              21,               4,             -8.500,            -68.000
              130,              22,               4,             -8.500,            -76.500
              131,              23,               4,             -8.500,            -85.000
              132,              24,               4,             -8.500,            -93.500
              133,              25,               4,             -8.500,           -102.000
              134,              26,               4,             -8.500,           -110.500
              135,               0,               5,            -17.000,            110.500
              136,               1,               5,            -17.000,            102.000
              137,               2,               5,            -17.000,             93.500
              138,               3,               5,            -17.000,             85.000
              139,               4,               5,            -17.000,             76.500
              140,               5,               5,            -17.000,             68.000
              141,               6,               5,            -17.000,             59.500
              142,               7,               5,            -17.000,             51.000
              143,               8,               5,            -17.000,             42.500
              144,               9,               5,            -17.000,             34.000
              145,              10,               5,            -17.000,             25.500
              146,              11,               5,            -17.000,             17.000
              147,              12,               5,            -17.000,              8.500
              148,              13,               5,            -17.000,              0.000
              149,              14,               5,            -17.000,             -8.500
              150,              15,               5,            -17.000,            -17.000
              151,              16,               5,            -17.000,            -25.500
              152,              17,               5,            -17.000,            -34.000
              153,              18,               5,            -17.000,            -42.500
              154,              19,               5,            -17.000,            -51.000
              155,              20,               5,            -17.000,            -59.500
              156,              21,               5,            -17.000,            -68.000
              157,              22,               5,            -17.000,            -76.500
              158,              23,               5,            -17.000,            -85.000
              159,              24,               5,            -17.000,            -93.500
              160,              25,               5,            -17.000,           -102.000
              161,              26,               5,            -17.000,           -110.500
              162,               0,               6,            -25.500,            110.500
              163,               1,               6,            -25.500,            102.000
              164,               2,               6,            -25.500,             93.500
              165,               3,               6,            -25.500,             85.000
              166,               4,               6,            -25.500,             76.500
              167,               5,               6,            -25.500,             68.000
              168,               6,               6,            -25.500,             59.500
              169,               7,               6,            -25.500,             51.000
              170,               8,               6,            -25.500,             42.500
              171,               9,               6,            -25.500,             34.000
              172,              10,               6,            -25.500,             25.500
              173,              11,               6,            -25.500,             17.000
              174,              12,               6,            -25.500,              8.500
              175,              13,               6,            -25.500,              0.000
              176,              14,               6,            -25.500,             -8.500
              177,              15,               6,            -25.500,            -17.000
              178,              16,               6,            -25.500,            -25.500
              179,              17,               6,            -25.500,            -34.000
              180,              18,               6,            -25.500,            -42.500
              181,              19,               6,            -25.500,            -51.000
              182,              20,               6,            -25.500,            -59.500
              183,              21,               6,            -25.500,            -68.000
              184,              22,               6,            -25.500,            -76.500
              185,              23,               6,            -25.500,            -85.000
              186,              24,               6,            -25.500,            -93.500
              187,              25,               6,            -25.500,           -102.000
              188,              26,               6,            -25.500,           -110.500
