#            Cell,             Row,          Column,            Xcenter,            Ycenter
                0,               0,               0,             25.500,            110.500
                1,               1,               0,             25.500,            102.000
                2,               2,               0,             25.500,             93.500
                3,               3,               0,             25.500,             85.000
                4,               4,               0,             25.500,             76.500
                5,               5,               0,             25.500,             68.000
                6,               6,               0,             25.500,             59.500
                7,               7,               0,             25.500,             51.000
                8,               8,               0,             25.500,             42.500
                9,               9,               0,             25.500,             34.000
               10,              10,               0,             25.500,             25.500
               11,              11,               0,             25.500,             17.000
               12,              12,               0,             25.500,              8.500
               13,              13,               0,             25.500,              0.000
               14,              14,               0,             25.500,             -8.500
               15,              15,               0,             25.500,            -17.000
               16,              16,               0,             25.500,            -25.500
               17,              17,               0,             25.500,            -34.000
               18,              18,               0,             25.500,            -42.500
               19,              19,               0,             25.500,            -51.000
               20,              20,               0,             25.500,            -59.500
               21,              21,               0,             25.500,            -68.000
               22,              22,               0,             25.500,            -76.500
               23,              23,               0,             25.500,            -85.000
               24,              24,               0,             25.500,            -93.500
               25,              25,               0,             25.500,           -102.000
               26,              26,               0,             25.500,           -110.500
               27,               0,               1,             17.000,            110.500
               28,               1,               1,             17.000,            102.000
               29,               2,               1,             17.000,             93.500
               30,               3,               1,             17.000,             85.000
               31,               4,               1,             17.000,             76.500
               32,               5,               1,             17.000,             68.000
               33,               6,               1,             17.000,             59.500
               34,               7,               1,             17.000,             51.000
               35,               8,               1,             17.000,             42.500
               36,               9,               1,             17.000,             34.000
               37,              10,               1,             17.000,             25.500
               38,              11,               1,             17.000,             17.000
               39,              12,               1,             17.000,              8.500
               40,              13,               1,             17.000,              0.000
               41,              14,               1,             17.000,             -8.500
               42,              15,               1,             17.000,            -17.000
               43,              16,               1,             17.000,            -25.500
               44,              17,               1,             17.000,            -34.000
               45,              18,               1,             17.000,            -42.500
               46,              19,               1,             17.000,            -51.000
               47,              20,               1,             17.000,            -59.500
               48,              21,               1,             17.000,            -68.000
               49,              22,               1,             17.000,            -76.500
               50,              23,               1,             17.000,            -85.000
               51,              24,               1,             17.000,            -93.500
               52,              25,               1,             17.000,           -102.000
               53,              26,               1,             17.000,           -110.500
               54,               0,               2,              8.500,            110.500
               55,               1,               2,              8.500,            102.000
               56,               2,               2,              8.500,             93.500
               57,               3,               2,              8.500,             85.000
               58,               4,               2,              8.500,             76.500
               59,               5,               2,              8.500,             68.000
               60,               6,               2,              8.500,             59.500
               61,               7,               2,              8.500,             51.000
               62,               8,               2,              8.500,             42.500
               63,               9,               2,              8.500,             34.000
               64,              10,               2,              8.500,             25.500
               65,              11,               2,              8.500,             17.000
               66,              12,               2,              8.500,              8.500
               67,              13,               2,              8.500,              0.000
               68,              14,               2,              8.500,             -8.500
               69,              15,               2,              8.500,            -17.000
               70,              16,               2,              8.500,            -25.500
               71,              17,               2,              8.500,            -34.000
               72,              18,               2,              8.500,            -42.500
               73,              19,               2,              8.500,            -51.000
               74,              20,               2,              8.500,            -59.500
               75,              21,               2,              8.500,            -68.000
               76,              22,               2,              8.500,            -76.500
               77,              23,               2,              8.500,            -85.000
               78,              24,               2,              8.500,            -93.500
               79,              25,               2,              8.500,           -102.000
               80,              26,               2,              8.500,           -110.500
               81,               0,               3,              0.000,            110.500
               82,               1,               3,              0.000,            102.000
               83,               2,               3,              0.000,             93.500
               84,               3,               3,              0.000,             85.000
               85,               4,               3,              0.000,             76.500
               86,               5,               3,              0.000,             68.000
               87,               6,               3,              0.000,             59.500
               88,               7,               3,              0.000,             51.000
               89,               8,               3,              0.000,             42.500
               90,               9,               3,              0.000,             34.000
               91,              10,               3,              0.000,             25.500
               92,              11,               3,              0.000,             17.000
               93,              12,               3,              0.000,              8.500
               94,              13,               3,              0.000,              0.000
               95,              14,               3,              0.000,             -8.500
               96,              15,               3,              0.000,            -17.000
               97,              16,               3,              0.000,            -25.500
               98,              17,               3,              0.000,            -34.000
               99,              18,               3,              0.000,            -42.500
              100,              19,               3,              0.000,            -51.000
              101,              20,               3,              0.000,            -59.500
              102,              21,               3,              0.000,            -68.000
              103,              22,               3,              0.000,            -76.500
              104,              23,               3,              0.000,            -85.000
              105,              24,               3,              0.000,            -93.500
              106,              25,               3,              0.000,           -102.000
              107,              26,               3,              0.000,           -110.500
              108,               0,               4,             -8.500,            110.500
              109,               1,               4,             -8.500,            102.000
              110,               2,               4,             -8.500,             93.500
              111,               3,               4,             -8.500,             85.000
              112,               4,               4,             -8.500,             76.500
              113,               5,               4,             -8.500,             68.000
              114,               6,               4,             -8.500,             59.500
              115,               7,               4,             -8.500,             51.000
