#            Cell,              Row,           Column,     Xcenter (cm),     Ycenter (cm)
              86,                5,               14,            8.364,         -123.611
              87,                5,               15,           12.819,         -123.611
              88,                5,               16,           17.112,         -123.611
              89,                5,               17,           21.405,         -123.611
              90,                6,                0,          -56.502,         -119.318
              91,                6,                1,          -52.210,         -119.318
              92,                6,                2,          -47.917,         -119.318
              93,                6,                3,          -43.462,         -119.318
              94,                6,                4,          -39.169,         -119.318
              95,                6,                5,          -34.877,         -119.318
              96,                6,                6,          -30.422,         -119.318
              97,                6,                7,          -26.129,         -119.318
              98,                6,                8,          -21.836,         -119.318
              99,                6,                9,          -17.381,         -119.318
             100,                6,               10,          -13.089,         -119.318
             101,                6,               11,           -8.796,         -119.318
             102,                6,               12,           -4.341,         -119.318
             103,                6,               13,           -0.048,         -119.318
             104,                6,               14,            4.244,         -119.318
             105,                6,               15,            8.699,         -119.318
             106,                6,               16,           12.992,         -119.318
             107,                6,               17,           17.285,         -119.318
             108,                6,               18,           21.740,         -119.318
             109,                6,               19,           26.032,         -119.318
             110,                6,               20,           30.325,         -119.318
             111,                7,                0,          -56.502,         -115.026
             112,                7,                1,          -52.210,         -115.026
             113,                7,                2,          -47.917,         -115.026
             114,                7,                3,          -43.462,         -115.026
             115,                7,                4,          -39.169,         -115.026
             116,                7,                5,          -34.877,         -115.026
             117,                7,                6,          -30.422,         -115.026
             118,                7,                7,          -26.129,         -115.026
             119,                7,                8,          -21.836,         -115.026
             120,                7,                9,          -17.381,         -115.026
             121,                7,               10,          -13.089,         -115.026
             122,                7,               11,           -8.796,         -115.026
             123,                7,               12,           -4.341,         -115.026
             124,                7,               13,           -0.048,         -115.026
             125,                7,               14,            4.244,         -115.026
             126,                7,               15,            8.699,         -115.026
             127,                7,               16,           12.992,         -115.026
             128,                7,               17,           17.285,         -115.026
             129,                7,               18,           21.740,         -115.026
             130,                7,               19,           26.032,         -115.026
             131,                7,               20,           30.325,         -115.026
             132,                8,                0,          -56.502,         -110.733
             133,                8,                1,          -52.210,         -110.733
             134,                8,                2,          -47.917,         -110.733
             135,                8,                3,          -43.462,         -110.733
             136,                8,                4,          -39.169,         -110.733
             137,                8,                5,          -34.877,         -110.733
             138,                8,                6,          -30.422,         -110.733
             139,                8,                7,          -26.129,         -110.733
             140,                8,                8,          -21.836,         -110.733
             141,                8,                9,          -17.381,         -110.733
             142,                8,               10,          -13.089,         -110.733
             143,                8,               11,           -8.796,         -110.733
             144,                8,               12,           -4.341,         -110.733
             145,                8,               13,           -0.048,         -110.733
             146,                8,               14,            4.244,         -110.733
             147,                8,               15,            8.699,         -110.733
             148,                8,               16,           12.992,         -110.733
             149,                8,               17,           17.285,         -110.733
             150,                8,               18,           21.740,         -110.733
             151,                8,               19,           26.032,         -110.733
             152,                8,               20,           30.325,         -110.733
             153,                9,                0,          -52.382,         -106.440
             154,                9,                1,          -48.090,         -106.440
             155,                9,                2,          -43.797,         -106.440
             156,                9,                3,          -39.342,         -106.440
             157,                9,                4,          -35.049,         -106.440
             158,                9,                5,          -30.757,         -106.440
             159,                9,                6,          -26.302,         -106.440
             160,                9,                7,          -22.009,         -106.440
             161,                9,                8,          -17.717,         -106.440
             162,                9,                9,          -13.261,         -106.440
             163,                9,               10,           -8.969,         -106.440
             164,                9,               11,           -4.676,         -106.440
             165,                9,               12,           -0.221,         -106.440
             166,                9,               13,            4.072,         -106.440
             167,                9,               14,            8.364,         -106.440
             168,                9,               15,           12.819,         -106.440
             169,                9,               16,           17.112,         -106.440
             170,                9,               17,           21.405,         -106.440
             171,                9,               18,           25.860,         -106.440
             172,                9,               19,           30.152,         -106.440
             173,                9,               20,           34.445,         -106.440
             174,               10,                0,          -52.382,         -102.148
             175,               10,                1,          -48.090,         -102.148
             176,               10,                2,          -43.797,         -102.148
             177,               10,                3,          -39.342,         -102.148
             178,               10,                4,          -35.049,         -102.148
             179,               10,                5,          -30.757,         -102.148
             180,               10,                6,          -26.302,         -102.148
             181,               10,                7,          -22.009,         -102.148
             182,               10,                8,          -17.717,         -102.148
             183,               10,                9,          -13.261,         -102.148
             184,               10,               10,           -8.969,         -102.148
             185,               10,               11,           -4.676,         -102.148
             186,               10,               12,           -0.221,         -102.148
             187,               10,               13,            4.072,         -102.148
             188,               10,               14,            8.364,         -102.148
             189,               10,               15,           12.819,         -102.148
