#            Cell,              Row,           Column,     Xcenter (cm),     Ycenter (cm)
             661,               29,                4,          -33.459,          -20.588
             662,               29,                5,          -29.167,          -20.588
             663,               29,                6,          -24.712,          -20.588
             664,               29,                7,          -20.419,          -20.588
             665,               29,                8,          -16.127,          -20.588
             666,               29,                9,          -11.671,          -20.588
             667,               29,               10,           -7.379,          -20.588
             668,               29,               11,           -3.086,          -20.588
             669,               29,               12,            1.369,          -20.588
             670,               29,               13,            5.662,          -20.588
             671,               29,               14,            9.954,          -20.588
             672,               29,               15,           14.409,          -20.588
             673,               29,               16,           18.702,          -20.588
             674,               29,               17,           22.995,          -20.588
             675,               29,               18,           27.450,          -20.588
             676,               29,               19,           31.742,          -20.588
             677,               29,               20,           36.035,          -20.588
             678,               29,               21,           40.490,          -20.588
             679,               29,               22,           44.783,          -20.588
             680,               29,               23,           49.075,          -20.588
             681,               29,               24,           53.530,          -20.588
             682,               29,               25,           57.823,          -20.588
             683,               29,               26,           62.116,          -20.588
             684,               30,                0,          -50.792,          -16.296
             685,               30,                1,          -46.500,          -16.296
             686,               30,                2,          -42.207,          -16.296
             687,               30,                3,          -37.752,          -16.296
             688,               30,                4,          -33.459,          -16.296
             689,               30,                5,          -29.167,          -16.296
             690,               30,                6,          -24.712,          -16.296
             691,               30,                7,          -20.419,          -16.296
             692,               30,                8,          -16.127,          -16.296
             693,               30,                9,          -11.671,          -16.296
             694,               30,               10,           -7.379,          -16.296
             695,               30,               11,           -3.086,          -16.296
             696,               30,               12,            1.369,          -16.296
             697,               30,               13,            5.662,          -16.296
             698,               30,               14,            9.954,          -16.296
             699,               30,               15,           14.409,          -16.296
             700,               30,               16,           18.702,          -16.296
             701,               30,               17,           22.995,          -16.296
             702,               30,               18,           27.450,          -16.296
             703,               30,               19,           31.742,          -16.296
             704,               30,               20,           36.035,          -16.296
             705,               30,               21,           40.490,          -16.296
             706,               30,               22,           44.783,          -16.296
             707,               30,               23,           49.075,          -16.296
             708,               30,               24,           53.530,          -16.296
             709,               30,               25,           57.823,          -16.296
             710,               30,               26,           62.116,          -16.296
             711,               31,                0,          -50.792,          -12.003
             712,               31,                1,          -46.500,          -12.003
             713,               31,                2,          -42.207,          -12.003
             714,               31,                3,          -37.752,          -12.003
             715,               31,                4,          -33.459,          -12.003
             716,               31,                5,          -29.167,          -12.003
             717,               31,                6,          -24.712,          -12.003
             718,               31,                7,          -20.419,          -12.003
             719,               31,                8,          -16.127,          -12.003
             720,               31,                9,          -11.671,          -12.003
             721,               31,               10,           -7.379,          -12.003
             722,               31,               11,           -3.086,          -12.003
             723,               31,               12,            1.369,          -12.003
             724,               31,               13,            5.662,          -12.003
             725,               31,               14,            9.954,          -12.003
             726,               31,               15,           14.409,          -12.003
             727,               31,               16,           18.702,          -12.003
             728,               31,               17,           22.995,          -12.003
             729,               31,               18,           27.450,          -12.003
             730,               31,               19,           31.742,          -12.003
             731,               31,               20,           36.035,          -12.003
             732,               31,               21,           40.490,          -12.003
             733,               31,               22,           44.783,          -12.003
             734,               31,               23,           49.075,          -12.003
             735,               31,               24,           53.530,          -12.003
             736,               31,               25,           57.823,          -12.003
             737,               31,               26,           62.116,          -12.003
             738,               32,                0,          -50.792,           -7.711
             739,               32,                1,          -46.500,           -7.711
             740,               32,                2,          -42.207,           -7.711
             741,               32,                3,          -37.752,           -7.711
             742,               32,                4,          -33.459,           -7.711
             743,               32,                5,          -29.167,           -7.711
             744,               32,                6,          -24.712,           -7.711
             745,               32,                7,          -20.419,           -7.711
             746,               32,                8,          -16.127,           -7.711
             747,               32,                9,          -11.671,           -7.711
             748,               32,               10,           -7.379,           -7.711
             749,               32,               11,           -3.086,           -7.711
             750,               32,               12,            1.369,           -7.711
             751,               32,               13,            5.662,           -7.711
             752,               32,               14,            9.954,           -7.711
             753,               32,               15,           14.409,           -7.711
             754,               32,               16,           18.702,           -7.711
             755,               32,               17,           22.995,           -7.711
             756,               32,               18,           27.450,           -7.711
             757,               32,               19,           31.742,           -7.711
             758,               32,               20,           36.035,           -7.711
             759,               32,               21,           40.490,           -7.711
             760,               32,               22,           44.783,           -7.711
             761,               32,               23,           49.075,           -7.711
             762,               32,               24,           53.530,           -7.711
             763,               32,               25,           57.823,           -7.711
             764,               32,               26,           62.116,           -7.711
             765,               33,                0,          -50.792,           -3.418
             766,               33,                1,          -46.500,           -3.418
             767,               33,                2,          -42.207,           -3.418
             768,               33,                3,          -37.752,           -3.418
             769,               33,                4,          -33.459,           -3.418
             770,               33,                5,          -29.167,           -3.418
             771,               33,                6,          -24.712,           -3.418
             772,               33,                7,          -20.419,           -3.418
             773,               33,                8,          -16.127,           -3.418
             774,               33,                9,          -11.671,           -3.418
             775,               33,               10,           -7.379,           -3.418
             776,               33,               11,           -3.086,           -3.418
             777,               33,               12,            1.369,           -3.418
             778,               33,               13,            5.662,           -3.418
             779,               33,               14,            9.954,           -3.418
             780,               33,               15,           14.409,           -3.418
             781,               33,               16,           18.702,           -3.418
             782,               33,               17,           22.995,           -3.418
             783,               33,               18,           27.450,           -3.418
             784,               33,               19,           31.742,           -3.418
             785,               33,               20,           36.035,           -3.418
             786,               33,               21,           40.490,           -3.418
             787,               33,               22,           44.783,           -3.418
             788,               33,               23,           49.075,           -3.418
             789,               33,               24,           53.530,           -3.418
             790,               33,               25,           57.823,           -3.418
             791,               33,               26,           62.116,           -3.418
             792,               34,                0,          -50.792,            0.875
             793,               34,                1,          -46.500,            0.875
             794,               34,                2,          -42.207,            0.875
             795,               34,                3,          -37.752,            0.875
             796,               34,                4,          -33.459,            0.875
             797,               34,                5,          -29.167,            0.875
             798,               34,                6,          -24.712,            0.875
             799,               34,                7,          -20.419,            0.875
             800,               34,                8,          -16.127,            0.875
             801,               34,                9,          -11.671,            0.875
             802,               34,               10,           -7.379,            0.875
             803,               34,               11,           -3.086,            0.875
             804,               34,               12,            1.369,            0.875
             805,               34,               13,            5.662,            0.875
             806,               34,               14,            9.954,            0.875
             807,               34,               15,           14.409,            0.875
             808,               34,               16,           18.702,            0.875
             809,               34,               17,           22.995,            0.875
             810,               34,               18,           27.450,            0.875
             811,               34,               19,           31.742,            0.875
             812,               34,               20,           36.035,            0.875
             813,               34,               21,           40.490,            0.875
             814,               34,               22,           44.783,            0.875
             815,               34,               23,           49.075,            0.875
             816,               34,               24,           53.530,            0.875
             817,               34,               25,           57.823,            0.875
             818,               34,               26,           62.116,            0.875
             819,               35,                0,          -50.792,            5.167
             820,               35,                1,          -46.500,            5.167
             821,               35,                2,          -42.207,            5.167
             822,               35,                3,          -37.752,            5.167
             823,               35,                4,          -33.459,            5.167
             824,               35,                5,          -29.167,            5.167
             825,               35,                6,          -24.712,            5.167
             826,               35,                7,          -20.419,            5.167
             827,               35,                8,          -16.127,            5.167
             828,               35,                9,          -11.671,            5.167
             829,               35,               10,           -7.379,            5.167
             830,               35,               11,           -3.086,            5.167
             831,               35,               12,            1.369,            5.167
             832,               35,               13,            5.662,            5.167
             833,               35,               14,            9.954,            5.167
             834,               35,               15,           14.409,            5.167
             835,               35,               16,           18.702,            5.167
             836,               35,               17,           22.995,            5.167
             837,               35,               18,           27.450,            5.167
             838,               35,               19,           31.742,            5.167
             839,               35,               20,           36.035,            5.167
             840,               35,               21,           40.490,            5.167
             841,               35,               22,           44.783,            5.167
             842,               35,               23,           49.075,            5.167
             843,               35,               24,           53.530,            5.167
             844,               35,               25,           57.823,            5.167
             845,               35,               26,           62.116,            5.167
             846,               36,                0,          -50.792,            9.460
             847,               36,                1,          -46.500,            9.460
             848,               36,                2,          -42.207,            9.460
             849,               36,                3,          -37.752,            9.460
             850,               36,                4,          -33.459,            9.460
             851,               36,                5,          -29.167,            9.460
             852,               36,                6,          -24.712,            9.460
             853,               36,                7,          -20.419,            9.460
             854,               36,                8,          -16.127,            9.460
             855,               36,                9,          -11.671,            9.460
             856,               36,               10,           -7.379,            9.460
             857,               36,               11,           -3.086,            9.460
             858,               36,               12,            1.369,            9.460
             859,               36,               13,            5.662,            9.460
             860,               36,               14,            9.954,            9.460
             861,               36,               15,           14.409,            9.460
             862,               36,               16,           18.702,            9.460
             863,               36,               17,           22.995,            9.460
             864,               36,               18,           27.450,            9.460
             865,               36,               19,           31.742,            9.460
             866,               36,               20,           36.035,            9.460
             867,               36,               21,           40.490,            9.460
             868,               36,               22,           44.783,            9.460
             869,               36,               23,           49.075,            9.460
             870,               36,               24,           53.530,            9.460
             871,               36,               25,           57.823,            9.460
             872,               36,               26,           62.116,            9.460
             873,               37,                0,          -50.792,           13.752
             874,               37,                1,          -46.500,           13.752
             875,               37,                2,          -42.207,           13.752
             876,               37,                3,          -37.752,           13.752
             877,               37,                4,          -33.459,           13.752
             878,               37,                5,          -29.167,           13.752
             879,               37,                6,          -24.712,           13.752
             880,               37,                7,          -20.419,           13.752
             881,               37,                8,          -16.127,           13.752
             882,               37,                9,          -11.671,           13.752
             883,               37,               10,           -7.379,           13.752
             884,               37,               11,           -3.086,           13.752
             885,               37,               12,            1.369,           13.752
             886,               37,               13,            5.662,           13.752
             887,               37,               14,            9.954,           13.752
             888,               37,               15,           14.409,           13.752
             889,               37,               16,           18.702,           13.752
             890,               37,               17,           22.995,           13.752
             891,               37,               18,           27.450,           13.752
             892,               37,               19,           31.742,           13.752
             893,               37,               20,           36.035,           13.752
             894,               37,               21,           40.490,           13.752
             895,               37,               22,           44.783,           13.752
             896,               37,               23,           49.075,           13.752
             897,               37,               24,           53.530,           13.752
             898,               37,               25,           57.823,           13.752
             899,               37,               26,           62.116,           13.752
             900,               38,                0,          -50.792,           18.045
             901,               38,                1,          -46.500,           18.045
             902,               38,                2,          -42.207,           18.045
             903,               38,                3,          -37.752,           18.045
             904,               38,                4,          -33.459,           18.045
             905,               38,                5,          -29.167,           18.045
             906,               38,                6,          -24.712,           18.045
             907,               38,                7,          -20.419,           18.045
             908,               38,                8,          -16.127,           18.045
             909,               38,                9,          -11.671,           18.045
             910,               38,               10,           -7.379,           18.045
             911,               38,               11,           -3.086,           18.045
             912,               38,               12,            1.369,           18.045
             913,               38,               13,            5.662,           18.045
             914,               38,               14,            9.954,           18.045
             915,               38,               15,           14.409,           18.045
             916,               38,               16,           18.702,           18.045
             917,               38,               17,           22.995,           18.045
             918,               38,               18,           27.450,           18.045
             919,               38,               19,           31.742,           18.045
             920,               38,               20,           36.035,           18.045
             921,               38,               21,           40.490,           18.045
             922,               38,               22,           44.783,           18.045
             923,               38,               23,           49.075,           18.045
             924,               38,               24,           53.530,           18.045
             925,               38,               25,           57.823,           18.045
             926,               38,               26,           62.116,           18.045
             927,               39,                0,          -50.792,           22.338
             928,               39,                1,          -46.500,           22.338
             929,               39,                2,          -42.207,           22.338
             930,               39,                3,          -37.752,           22.338
             931,               39,                4,          -33.459,           22.338
             932,               39,                5,          -29.167,           22.338
             933,               39,                6,          -24.712,           22.338
             934,               39,                7,          -20.419,           22.338
             935,               39,                8,          -16.127,           22.338
             936,               39,                9,          -11.671,           22.338
             937,               39,               10,           -7.379,           22.338
             938,               39,               11,           -3.086,           22.338
             939,               39,               12,            1.369,           22.338
             940,               39,               13,            5.662,           22.338
             941,               39,               14,            9.954,           22.338
             942,               39,               15,           14.409,           22.338
             943,               39,               16,           18.702,           22.338
             944,               39,               17,           22.995,           22.338
             945,               39,               18,           27.450,           22.338
             946,               39,               19,           31.742,           22.338
             947,               39,               20,           36.035,           22.338
             948,               39,               21,           40.490,           22.338
             949,               39,               22,           44.783,           22.338
             950,               39,               23,           49.075,           22.338
             951,               39,               24,           53.530,           22.338
             952,               39,               25,           57.823,           22.338
             953,               39,               26,           62.116,           22.338
             954,               40,                0,          -50.792,           26.630
             955,               40,                1,          -46.500,           26.630
             956,               40,                2,          -42.207,           26.630
             957,               40,                3,          -37.752,           26.630
             958,               40,                4,          -33.459,           26.630
             959,               40,                5,          -29.167,           26.630
             960,               40,                6,          -24.712,           26.630
             961,               40,                7,          -20.419,           26.630
             962,               40,                8,          -16.127,           26.630
             963,               40,                9,          -11.671,           26.630
             964,               40,               10,           -7.379,           26.630
             965,               40,               11,           -3.086,           26.630
             966,               40,               12,            1.369,           26.630
             967,               40,               13,            5.662,           26.630
             968,               40,               14,            9.954,           26.630
             969,               40,               15,           14.409,           26.630
             970,               40,               16,           18.702,           26.630
             971,               40,               17,           22.995,           26.630
             972,               40,               18,           27.450,           26.630
             973,               40,               19,           31.742,           26.630
             974,               40,               20,           36.035,           26.630
             975,               40,               21,           40.490,           26.630
             976,               40,               22,           44.783,           26.630
             977,               40,               23,           49.075,           26.630
             978,               40,               24,           53.530,           26.630
             979,               40,               25,           57.823,           26.630
             980,               40,               26,           62.116,           26.630
             981,               41,                0,          -50.792,           30.923
             982,               41,                1,          -46.500,           30.923
             983,               41,                2,          -42.207,           30.923
             984,               41,                3,          -37.752,           30.923
             985,               41,                4,          -33.459,           30.923
             986,               41,                5,          -29.167,           30.923
             987,               41,                6,          -24.712,           30.923
             988,               41,                7,          -20.419,           30.923
             989,               41,                8,          -16.127,           30.923
             990,               41,                9,          -11.671,           30.923
             991,               41,               10,           -7.379,           30.923
             992,               41,               11,           -3.086,           30.923
             993,               41,               12,            1.369,           30.923
             994,               41,               13,            5.662,           30.923
             995,               41,               14,            9.954,           30.923
             996,               41,               15,           14.409,           30.923
             997,               41,               16,           18.702,           30.923
             998,               41,               17,           22.995,           30.923
             999,               41,               18,           27.450,           30.923
            1000,               41,               19,           31.742,           30.923
            1001,               41,               20,           36.035,           30.923
            1002,               41,               21,           40.490,           30.923
            1003,               41,               22,           44.783,           30.923
            1004,               41,               23,           49.075,           30.923
            1005,               41,               24,           53.530,           30.923
            1006,               41,               25,           57.823,           30.923
            1007,               41,               26,           62.116,           30.923
            1008,               42,                0,          -50.792,           35.215
            1009,               42,                1,          -46.500,           35.215
            1010,               42,                2,          -42.207,           35.215
            1011,               42,                3,          -37.752,           35.215
            1012,               42,                4,          -33.459,           35.215
            1013,               42,                5,          -29.167,           35.215
            1014,               42,                6,          -24.712,           35.215
            1015,               42,                7,          -20.419,           35.215
            1016,               42,                8,          -16.127,           35.215
            1017,               42,                9,          -11.671,           35.215
            1018,               42,               10,           -7.379,           35.215
            1019,               42,               11,           -3.086,           35.215
            1020,               42,               12,            1.369,           35.215
            1021,               42,               13,            5.662,           35.215
            1022,               42,               14,            9.954,           35.215
            1023,               42,               15,           14.409,           35.215
            1024,               42,               16,           18.702,           35.215
            1025,               42,               17,           22.995,           35.215
            1026,               42,               18,           27.450,           35.215
            1027,               42,               19,           31.742,           35.215
            1028,               42,               20,           36.035,           35.215
            1029,               42,               21,           40.490,           35.215
            1030,               42,               22,           44.783,           35.215
            1031,               42,               23,           49.075,           35.215
            1032,               42,               24,           53.530,           35.215
            1033,               42,               25,           57.823,           35.215
            1034,               42,               26,           62.116,           35.215
            1035,               43,                0,          -50.792,           39.508
            1036,               43,                1,          -46.500,           39.508
            1037,               43,                2,          -42.207,           39.508
            1038,               43,                3,          -37.752,           39.508
            1039,               43,                4,          -33.459,           39.508
            1040,               43,                5,          -29.167,           39.508
            1041,               43,                6,          -24.712,           39.508
            1042,               43,                7,          -20.419,           39.508
            1043,               43,                8,          -16.127,           39.508
            1044,               43,                9,          -11.671,           39.508
            1045,               43,               10,           -7.379,           39.508
            1046,               43,               11,           -3.086,           39.508
            1047,               43,               12,            1.369,           39.508
            1048,               43,               13,            5.662,           39.508
            1049,               43,               14,            9.954,           39.508
            1050,               43,               15,           14.409,           39.508
            1051,               43,               16,           18.702,           39.508
            1052,               43,               17,           22.995,           39.508
            1053,               43,               18,           27.450,           39.508
            1054,               43,               19,           31.742,           39.508
            1055,               43,               20,           36.035,           39.508
            1056,               43,               21,           40.490,           39.508
            1057,               43,               22,           44.783,           39.508
            1058,               43,               23,           49.075,           39.508
            1059,               43,               24,           53.530,           39.508
            1060,               43,               25,           57.823,           39.508
            1061,               43,               26,           62.116,           39.508
            1062,               44,                0,          -50.792,           43.801
            1063,               44,                1,          -46.500,           43.801
            1064,               44,                2,          -42.207,           43.801
            1065,               44,                3,          -37.752,           43.801
            1066,               44,                4,          -33.459,           43.801
            1067,               44,                5,          -29.167,           43.801
            1068,               44,                6,          -24.712,           43.801
            1069,               44,                7,          -20.419,           43.801
            1070,               44,                8,          -16.127,           43.801
            1071,               44,                9,          -11.671,           43.801
            1072,               44,               10,           -7.379,           43.801
            1073,               44,               11,           -3.086,           43.801
            1074,               44,               12,            1.369,           43.801
            1075,               44,               13,            5.662,           43.801
            1076,               44,               14,            9.954,           43.801
            1077,               44,               15,           14.409,           43.801
            1078,               44,               16,           18.702,           43.801
            1079,               44,               17,           22.995,           43.801
            1080,               44,               18,           27.450,           43.801
            1081,               44,               19,           31.742,           43.801
            1082,               44,               20,           36.035,           43.801
            1083,               44,               21,           40.490,           43.801
            1084,               44,               22,           44.783,           43.801
            1085,               44,               23,           49.075,           43.801
            1086,               44,               24,           53.530,           43.801
            1087,               44,               25,           57.823,           43.801
            1088,               44,               26,           62.116,           43.801
            1089,               45,                0,          -50.792,           48.093
            1090,               45,                1,          -46.500,           48.093
            1091,               45,                2,          -42.207,           48.093
            1092,               45,                3,          -37.752,           48.093
            1093,               45,                4,          -33.459,           48.093
            1094,               45,                5,          -29.167,           48.093
            1095,               45,                6,          -24.712,           48.093
            1096,               45,                7,          -20.419,           48.093
            1097,               45,                8,          -16.127,           48.093
            1098,               45,                9,          -11.671,           48.093
            1099,               45,               10,           -7.379,           48.093
            1100,               45,               11,           -3.086,           48.093
            1101,               45,               12,            1.369,           48.093
            1102,               45,               13,            5.662,           48.093
            1103,               45,               14,            9.954,           48.093
            1104,               45,               15,           14.409,           48.093
            1105,               45,               16,           18.702,           48.093
            1106,               45,               17,           22.995,           48.093
            1107,               45,               18,           27.450,           48.093
            1108,               45,               19,           31.742,           48.093
            1109,               45,               20,           36.035,           48.093
            1110,               45,               21,           40.490,           48.093
            1111,               45,               22,           44.783,           48.093
            1112,               45,               23,           49.075,           48.093
            1113,               45,               24,           53.530,           48.093
            1114,               45,               25,           57.823,           48.093
            1115,               45,               26,           62.116,           48.093
            1116,               46,                0,          -50.792,           52.386
            1117,               46,                1,          -46.500,           52.386
            1118,               46,                2,          -42.207,           52.386
            1119,               46,                3,          -37.752,           52.386
            1120,               46,                4,          -33.459,           52.386
            1121,               46,                5,          -29.167,           52.386
            1122,               46,                6,          -24.712,           52.386
            1123,               46,                7,          -20.419,           52.386
            1124,               46,                8,          -16.127,           52.386
            1125,               46,                9,          -11.671,           52.386
            1126,               46,               10,           -7.379,           52.386
            1127,               46,               11,           -3.086,           52.386
            1128,               46,               12,            1.369,           52.386
            1129,               46,               13,            5.662,           52.386
            1130,               46,               14,            9.954,           52.386
            1131,               46,               15,           14.409,           52.386
            1132,               46,               16,           18.702,           52.386
            1133,               46,               17,           22.995,           52.386
            1134,               46,               18,           27.450,           52.386
            1135,               46,               19,           31.742,           52.386
            1136,               46,               20,           36.035,           52.386
            1137,               46,               21,           40.490,           52.386
            1138,               46,               22,           44.783,           52.386
            1139,               46,               23,           49.075,           52.386
            1140,               46,               24,           53.530,           52.386
            1141,               46,               25,           57.823,           52.386
            1142,               46,               26,           62.116,           52.386
            1143,               47,                0,          -50.792,           56.678
            1144,               47,                1,          -46.500,           56.678
            1145,               47,                2,          -42.207,           56.678
            1146,               47,                3,          -37.752,           56.678
            1147,               47,                4,          -33.459,           56.678
            1148,               47,                5,          -29.167,           56.678
            1149,               47,                6,          -24.712,           56.678
            1150,               47,                7,          -20.419,           56.678
            1151,               47,                8,          -16.127,           56.678
            1152,               47,                9,          -11.671,           56.678
            1153,               47,               10,           -7.379,           56.678
            1154,               47,               11,           -3.086,           56.678
            1155,               47,               12,            1.369,           56.678
            1156,               47,               13,            5.662,           56.678
            1157,               47,               14,            9.954,           56.678
            1158,               47,               15,           14.409,           56.678
            1159,               47,               16,           18.702,           56.678
            1160,               47,               17,           22.995,           56.678
            1161,               47,               18,           27.450,           56.678
            1162,               47,               19,           31.742,           56.678
            1163,               47,               20,           36.035,           56.678
            1164,               47,               21,           40.490,           56.678
            1165,               47,               22,           44.783,           56.678
            1166,               47,               23,           49.075,           56.678
            1167,               47,               24,           53.530,           56.678
            1168,               47,               25,           57.823,           56.678
            1169,               47,               26,           62.116,           56.678
            1170,               48,                0,          -50.792,           60.971
            1171,               48,                1,          -46.500,           60.971
            1172,               48,                2,          -42.207,           60.971
            1173,               48,                3,          -37.752,           60.971
            1174,               48,                4,          -33.459,           60.971
            1175,               48,                5,          -29.167,           60.971
            1176,               48,                6,          -24.712,           60.971
            1177,               48,                7,          -20.419,           60.971
            1178,               48,                8,          -16.127,           60.971
            1179,               48,                9,          -11.671,           60.971
            1180,               48,               10,           -7.379,           60.971
            1181,               48,               11,           -3.086,           60.971
            1182,               48,               12,            1.369,           60.971
            1183,               48,               13,            5.662,           60.971
            1184,               48,               14,            9.954,           60.971
            1185,               48,               15,           14.409,           60.971
            1186,               48,               16,           18.702,           60.971
            1187,               48,               17,           22.995,           60.971
            1188,               48,               18,           27.450,           60.971
            1189,               48,               19,           31.742,           60.971
            1190,               48,               20,           36.035,           60.971
            1191,               48,               21,           40.490,           60.971
            1192,               48,               22,           44.783,           60.971
            1193,               48,               23,           49.075,           60.971
            1194,               48,               24,           53.530,           60.971
            1195,               48,               25,           57.823,           60.971
            1196,               48,               26,           62.116,           60.971
            1197,               49,                0,          -50.792,           65.264
            1198,               49,                1,          -46.500,           65.264
            1199,               49,                2,          -42.207,           65.264
            1200,               49,                3,          -37.752,           65.264
            1201,               49,                4,          -33.459,           65.264
            1202,               49,                5,          -29.167,           65.264
            1203,               49,                6,          -24.712,           65.264
            1204,               49,                7,          -20.419,           65.264
            1205,               49,                8,          -16.127,           65.264
            1206,               49,                9,          -11.671,           65.264
            1207,               49,               10,           -7.379,           65.264
            1208,               49,               11,           -3.086,           65.264
            1209,               49,               12,            1.369,           65.264
            1210,               49,               13,            5.662,           65.264
            1211,               49,               14,            9.954,           65.264
            1212,               49,               15,           14.409,           65.264
            1213,               49,               16,           18.702,           65.264
            1214,               49,               17,           22.995,           65.264
            1215,               49,               18,           27.450,           65.264
            1216,               49,               19,           31.742,           65.264
            1217,               49,               20,           36.035,           65.264
            1218,               49,               21,           40.490,           65.264
            1219,               49,               22,           44.783,           65.264
            1220,               49,               23,           49.075,           65.264
            1221,               49,               24,           53.530,           65.264
            1222,               49,               25,           57.823,           65.264
            1223,               49,               26,           62.116,           65.264
            1224,               50,                0,          -50.792,           69.556
            1225,               50,                1,          -46.500,           69.556
            1226,               50,                2,          -42.207,           69.556
            1227,               50,                3,          -37.752,           69.556
            1228,               50,                4,          -33.459,           69.556
            1229,               50,                5,          -29.167,           69.556
            1230,               50,                6,          -24.712,           69.556
            1231,               50,                7,          -20.419,           69.556
            1232,               50,                8,          -16.127,           69.556
            1233,               50,                9,          -11.671,           69.556
            1234,               50,               10,           -7.379,           69.556
            1235,               50,               11,           -3.086,           69.556
            1236,               50,               12,            1.369,           69.556
            1237,               50,               13,            5.662,           69.556
            1238,               50,               14,            9.954,           69.556
            1239,               50,               15,           14.409,           69.556
            1240,               50,               16,           18.702,           69.556
            1241,               50,               17,           22.995,           69.556
            1242,               50,               18,           27.450,           69.556
            1243,               50,               19,           31.742,           69.556
            1244,               50,               20,           36.035,           69.556
            1245,               50,               21,           40.490,           69.556
            1246,               50,               22,           44.783,           69.556
            1247,               50,               23,           49.075,           69.556
            1248,               50,               24,           53.530,           69.556
            1249,               50,               25,           57.823,           69.556
            1250,               50,               26,           62.116,           69.556
            1251,               51,                0,          -50.792,           73.849
            1252,               51,                1,          -46.500,           73.849
            1253,               51,                2,          -42.207,           73.849
            1254,               51,                3,          -37.752,           73.849
            1255,               51,                4,          -33.459,           73.849
            1256,               51,                5,          -29.167,           73.849
            1257,               51,                6,          -24.712,           73.849
            1258,               51,                7,          -20.419,           73.849
            1259,               51,                8,          -16.127,           73.849
            1260,               51,                9,          -11.671,           73.849
            1261,               51,               10,           -7.379,           73.849
            1262,               51,               11,           -3.086,           73.849
            1263,               51,               12,            1.369,           73.849
            1264,               51,               13,            5.662,           73.849
            1265,               51,               14,            9.954,           73.849
            1266,               51,               15,           14.409,           73.849
            1267,               51,               16,           18.702,           73.849
            1268,               51,               17,           22.995,           73.849
            1269,               51,               18,           27.450,           73.849
            1270,               51,               19,           31.742,           73.849
            1271,               51,               20,           36.035,           73.849
            1272,               51,               21,           40.490,           73.849
            1273,               51,               22,           44.783,           73.849
            1274,               51,               23,           49.075,           73.849
            1275,               51,               24,           53.530,           73.849
            1276,               51,               25,           57.823,           73.849
            1277,               51,               26,           62.116,           73.849
            1278,               52,                0,          -50.792,           78.141
            1279,               52,                1,          -46.500,           78.141
            1280,               52,                2,          -42.207,           78.141
            1281,               52,                3,          -37.752,           78.141
            1282,               52,                4,          -33.459,           78.141
            1283,               52,                5,          -29.167,           78.141
            1284,               52,                6,          -24.712,           78.141
            1285,               52,                7,          -20.419,           78.141
            1286,               52,                8,          -16.127,           78.141
            1287,               52,                9,          -11.671,           78.141
            1288,               52,               10,           -7.379,           78.141
            1289,               52,               11,           -3.086,           78.141
            1290,               52,               12,            1.369,           78.141
            1291,               52,               13,            5.662,           78.141
            1292,               52,               14,            9.954,           78.141
            1293,               52,               15,           14.409,           78.141
            1294,               52,               16,           18.702,           78.141
            1295,               52,               17,           22.995,           78.141
            1296,               52,               18,           27.450,           78.141
            1297,               52,               19,           31.742,           78.141
            1298,               52,               20,           36.035,           78.141
            1299,               52,               21,           40.490,           78.141
            1300,               52,               22,           44.783,           78.141
            1301,               52,               23,           49.075,           78.141
            1302,               52,               24,           53.530,           78.141
            1303,               52,               25,           57.823,           78.141
            1304,               52,               26,           62.116,           78.141
            1305,               53,                0,          -50.792,           82.434
            1306,               53,                1,          -46.500,           82.434
            1307,               53,                2,          -42.207,           82.434
            1308,               53,                3,          -37.752,           82.434
            1309,               53,                4,          -33.459,           82.434
            1310,               53,                5,          -29.167,           82.434
            1311,               53,                6,          -24.712,           82.434
            1312,               53,                7,          -20.419,           82.434
            1313,               53,                8,          -16.127,           82.434
            1314,               53,                9,          -11.671,           82.434
            1315,               53,               10,           -7.379,           82.434
            1316,               53,               11,           -3.086,           82.434
            1317,               53,               12,            1.369,           82.434
            1318,               53,               13,            5.662,           82.434
            1319,               53,               14,            9.954,           82.434
            1320,               53,               15,           14.409,           82.434
            1321,               53,               16,           18.702,           82.434
            1322,               53,               17,           22.995,           82.434
            1323,               53,               18,           27.450,           82.434
            1324,               53,               19,           31.742,           82.434
            1325,               53,               20,           36.035,           82.434
            1326,               53,               21,           40.490,           82.434
            1327,               53,               22,           44.783,           82.434
            1328,               53,               23,           49.075,           82.434
            1329,               53,               24,           53.530,           82.434
            1330,               53,               25,           57.823,           82.434
            1331,               53,               26,           62.116,           82.434
            1332,               54,                0,          -50.792,           86.727
            1333,               54,                1,          -46.500,           86.727
            1334,               54,                2,          -42.207,           86.727
            1335,               54,                3,          -37.752,           86.727
            1336,               54,                4,          -33.459,           86.727
            1337,               54,                5,          -29.167,           86.727
            1338,               54,                6,          -24.712,           86.727
            1339,               54,                7,          -20.419,           86.727
            1340,               54,                8,          -16.127,           86.727
            1341,               54,                9,          -11.671,           86.727
            1342,               54,               10,           -7.379,           86.727
            1343,               54,               11,           -3.086,           86.727
            1344,               54,               12,            1.369,           86.727
            1345,               54,               13,            5.662,           86.727
            1346,               54,               14,            9.954,           86.727
            1347,               54,               15,           14.409,           86.727
            1348,               54,               16,           18.702,           86.727
            1349,               54,               17,           22.995,           86.727
            1350,               54,               18,           27.450,           86.727
            1351,               54,               19,           31.742,           86.727
            1352,               54,               20,           36.035,           86.727
            1353,               54,               21,           40.490,           86.727
