#            Cell,             Row,          Column,            Xcenter,            Ycenter
                0,               0,               0,             18.500,            112.500
                1,               1,               0,             18.500,            103.500
                2,               2,               0,             18.500,             94.500
                3,               3,               0,             18.500,             85.500
                4,               4,               0,             18.500,             76.500
                5,               5,               0,             18.500,             67.500
                6,               6,               0,             18.500,             58.500
                7,               7,               0,             18.500,             49.500
                8,               8,               0,             18.500,             40.500
                9,               9,               0,             18.500,             31.500
               10,              10,               0,             18.500,             22.500
               11,              11,               0,             18.500,             13.500
               12,              12,               0,             18.500,              4.500
               13,              13,               0,             18.500,             -4.500
               14,              14,               0,             18.500,            -13.500
               15,              15,               0,             18.500,            -22.500
               16,              16,               0,             18.500,            -31.500
               17,              17,               0,             18.500,            -40.500
               18,              18,               0,             18.500,            -49.500
               19,              19,               0,             18.500,            -58.500
               20,              20,               0,             18.500,            -67.500
               21,              21,               0,             18.500,            -76.500
               22,              22,               0,             18.500,            -85.500
               23,              23,               0,             18.500,            -94.500
               24,              24,               0,             18.500,           -103.500
               25,              25,               0,             18.500,           -112.500
               26,               0,               1,            -18.500,            112.500
               27,               1,               1,            -18.500,            103.500
               28,               2,               1,            -18.500,             94.500
               29,               3,               1,            -18.500,             85.500
               30,               4,               1,            -18.500,             76.500
               31,               5,               1,            -18.500,             67.500
               32,               6,               1,            -18.500,             58.500
               33,               7,               1,            -18.500,             49.500
               34,               8,               1,            -18.500,             40.500
               35,               9,               1,            -18.500,             31.500
               36,              10,               1,            -18.500,             22.500
               37,              11,               1,            -18.500,             13.500
               38,              12,               1,            -18.500,              4.500
               39,              13,               1,            -18.500,             -4.500
               40,              14,               1,            -18.500,            -13.500
               41,              15,               1,            -18.500,            -22.500
               42,              16,               1,            -18.500,            -31.500
               43,              17,               1,            -18.500,            -40.500
               44,              18,               1,            -18.500,            -49.500
               45,              19,               1,            -18.500,            -58.500
               46,              20,               1,            -18.500,            -67.500
               47,              21,               1,            -18.500,            -76.500
               48,              22,               1,            -18.500,            -85.500
               49,              23,               1,            -18.500,            -94.500
               50,              24,               1,            -18.500,           -103.500
               51,              25,               1,            -18.500,           -112.500
